restaurant_id,rating,comment,created_at
20,4.55,정말 맛있게 잘 먹었습니다! 감사해요~? 자주 올게요!,2024-10-01
20,4.55,푸팟퐁커리 맛있어요! 점심 간단히 먹기에 좋은 집,2024-03-21
20,4.55,한번씩 태국음식이 떠오를 때 찾아갈 것 같아요~,2024-07-11
20,4.55,기대 안하고 갔는데 맛있습니다. 팟타이 나시고랭 팟씨유 푸팡퐁커리 다 맛있어요,2024-10-01
20,4.55,직장 근처이지만 처음 가보았고 저는 반미를 먹었어요. 고수 추가 필수ㅋㅋ 담번에 누들을 먹어봐야겠어요! 재방문 의사 100%,2024-03-11
21,4.53,치즈돈까스 맛있어요!! 사장님이 친절하시네요,2024-04-19
21,4.53,라면 꼬들하게 맛나게 끓여주셨어요~,2023-11-25
21,4.53,가볍게 혼밥하기 좋아요,2023-11-07
21,4.53,"특별한 맛은 아니지만 준수하며, 가격도 착한편!",2024-04-06
21,4.53,가성비 그리고 맛도 좋아요.,2024-07-15
21,4.53,양도 많고 맛도 좋고 가성비도 좋아요,2023-09-04
22,4.54,"올초 1월에 방문 후 2번째 방문인데, 사장님께서 기억해 주시고 반갑게 맞아주셔서 감동받아 눈물 광광 날뻔 했어요ㅜㅜㅜ",2025-02-25
22,4.54,"예전보다 식사량이 꽤 늘어서 1그릇 비워보나 했지만, 이번에도 실패했습니다. 양 너무 많아요 ㅠㅠ 언제쯤 다 먹어보련지.. 맛있는 식사했습니다",2025-04-03
22,4.54,기본 계란국에 계란이 아주 푸짐하구 별미에요 쫄볶이도 양이 넉넉하고 맛있었습니다!,2025-04-13
22,4.54,감성과 맛 둘 다 완벽한 사대분식이에요! 지나가면서 이런 곳이 진짜 맛집일텐데..! 했었는데 진짜 후기들이 좋길래 드디어 가봤습니다ㅎㅎ,2024-09-22
22,4.54,가장 유명한 소세지섞어찌개 주문했고 너무너무 맛있어요!!,2024-11-06
22,4.54,주변에 교육할 일이 있어 방문했다가 출출해서 들어갔어요. 오!! 가성비 짱입니다.,2024-10-10
23,4.35,오랜만에 추억의 맛,2025-04-19
23,4.35,추억의 은혜떡볶이 언제와도 좋네요,2025-04-13
23,4.35,정말 오랜만에 방문했어요!! 변함없이 너무 맛있네용!! 앞접시와 단무지는 셀프입니다! 단무지가 도톰한게 맛있어요~ 볶음밥은 진짜 필수입니다!!,2024-11-02
23,4.35,맛있고 친절해요 생각날 맛이어요,2025-03-24
23,4.35,짜장 떡볶이는 이집이 최고입니다 포장해서 먹어도 맛은 한결같이 맛있네요 짜장이지만 약간 매콤한 맛입니다,2025-03-02
23,4.35,세종대 근처라 학생들 많고 북적이는 느낌이 있어서 정신없지만 떡볶이맛은 최고~ 가성비도 굿!,2024-11-23
24,4.32,넘나 깔끔하고 맛있음.튀김도 깨끗한 기름을 사용하는지 시장통 튀김과는 차원이 다름.순대는 잡내없이 깔끔.,2025-04-22
24,4.32,맵지만 맛있다. 떡복이는 좋아하지만 매운 걸 못먹는 나. 하지만 첫 맛만 맵고 먹을 수록 괜찮아요.,2025-02-18
24,4.32,양념 딴짠 !!! 쌀떡이라 너므 좋음!!!! 쫀득쫀득하고 김말이튀김에 양념 듬뿍 묻혀 먹으니 꿀맛!!!,2025-04-13
24,4.32,오래간만에 엄청 맛있는 떡볶이를 만난 것 같아요 !!! 깔끔한 소스에 떡에 간도 잘 배서 정말 맛있었어요 !!,2025-02-13
24,4.32,가성비가 좋아요,2025-03-29
24,4.32,"한 15년 단골로 자주이용하고 있는 곳입니다. 단, 떡볶이를 먹으면 엄청 졸려요 ㅠㅠ",2025-03-07
25,4.59,날좋은날 간단한 분식 여러가지루 야장 넘 좋았습니다ㅜ,2025-04-20
25,4.59,떡볶이와 생맥주가 있는 아지트 같은 분식집!,2024-07-19
25,4.59,아미고프란고 야장에서 간단히 맥주한잔 먹기도 좋고 아이와 간식먹으러 가기도 좋아요. 오징어튀김 가성비 좋고맛있어요,2025-03-11
25,4.59,우연히 길가다 발견 야장에서 분식에 생맥한잔 분위기 최고 대왕오징어튀김 1500원 미친가격,2024-05-04
25,4.59,가격 비해 양 진짜 많고 가성비 완전좋아여 14알에 6500원.. 가쓰오부시 안주는집들도 많던데 여기는 엄청많이줘요 ㅋㅋ,2024-08-31
25,4.59,야식으로 타코야끼 먹었어요 맛남~!,2024-07-12
26,4.56,가성비 너무 좋아서 깜짝 놀랐던 곳입니다. 근처 떡볶이집 찾다가 간 곳이었는데 완전 만족도 백점만점.,2025-04-15
26,4.56,늘 맛있게 먹고 있어요~ 감사합니다!,2024-10-28
