id,restaurant_id,name,price,description,image_url
96,129,능이 명품 삼계탕,19000.0,삼계 닭은 다 익어서 갑니다. 바로식과 보관식 2개 중 선택해서 주문해 주세요~~,https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F2B40B74C6B6A4ED18DD41BE0CCD48859
97,129,닭계장 1人,11000.0,공기밥 제공,https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB03F3CC9385A4AF08B7D2FECFE6752F6
98,129,황제 해천탕,160000.0,찰쌀밥 제공,https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FF4EACC19C2754DEE8B151D99B6759441
99,129,찰쌀밥,3000.0,,https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F1C846D89C9CA4AFA8AA6096214B78190
100,129,능이 전복 삼계탕,24000.0,싱싱한 살아있는 전복을 바로 넣어 조리해서 제공하는 보양식 삼계탕,https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F586EC423B0C0481ABE17B98B44667A91
101,129,능이 유황오리 백숙 반마리,50000.0,"찰밥 제공 （ 산낙지, 전복 사리 추가 추천합니다~）",https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC1CF93202FE249A8A6EF64BD90E69ACE
102,129,황제 해천탕 반마리 （오리만）,99000.0,찰쌀밥 제공,https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F1836DA7F2F1047D687AD65862861549C
103,129,문어비빔밥,15000.0,,https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F4E6F381D311F45D19FA4BE246F3926A8
104,129,능이 산낙지 삼계탕,35000.0,살아있는 산낙지를 바로 잡아서 같이 끓여 드립니다.,
105,129,공기밥,1000.0,,https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F7A83F0504DAF45538815B55C0A96C55D
106,129,사이다（350mL）,2000.0,"몸속부터 깨워줄 시원함이 필요할 때, 분위기를 상쾌하게 전환하는 사이다",https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F062211D17359452BA4882896C71A0338
107,129,코카콜라 （350mL）,2000.0,콜라,https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F07BEC4A21EB247209234EE90F844C7BF
108,129,직접 담근 김치,2000.0,기와집 매장에서 100% 재료로 직접 담근 김치입니다.,https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F3A3D285B454E41B78C5BFBA1EBBFF786
109,129,직접 담근 깍두기,2000.0,기와집 매장에서 100% 재료로 담근 깍두기,https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F4D809726F25C4CC9B4E75B7C84ABBA95
110,129,직접 담근 무절임,2000.0,100% 국내산 재료로 만든 기와집 무절임.새콤달콤해서 여성분들에게 인기만점입니다.,https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F1BC9F1F130A34645A4EFEEB75C8A36C9
111,129,직접 만든 마늘장아찌,3000.0,기아집에서 직접 만든 마늘장아찌. 삼계탕이랑 함께 먹으면 금상첨화,https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FF28F6ECD0BCD4352BB02544C8A4365B9
112,129,능이버섯 추가,25000.0,,https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F5D2D495E289149FF9D054D9A1AA75B95
113,129,통문어사리,40000.0,,https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F5F13C378896A4C399BDA5FDE30E80A56
114,129,산낙지（직접 끓여드실 수 있을 시 ）,18000.0,수족관에서 갓 잡아서 보내드리는 살아있는 산낙지,https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F95C22F240C084881ABF6B0068F0582BB
115,129,활전복（ 직접 끓여 드실 수 있을 시 ）,6000.0,수족관에서 갓 잡아서 살아있는 활전복,https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FA2ABF5F4B2774F6A9F527B01E341FAC5
116,129,칼국수,4000.0,,https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F676D41F0580F4908B02C037CE2B4033B
117,129,부추,2000.0,,https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FCCED0A3C3FE349BABE7D8F5F5600B85C
118,130,장어정식 (점심특선),21000.0,특반마리+장어탕,
119,130,특대한마리 (활장어500g),42000.0,,
120,130,특대반마리,21000.0,,
121,130,웰빙장어탕,10000.0,,
122,130,장어덮밥 (점심특선),15000.0,,
123,131,무한리필(평일점심),12900.0,,
124,131,무한리필(평일저녁),13900.0,,
125,131,"무한리필(주말,공휴일)",14500.0,,
126,131,무한리필 초등학생(평일점심),9900.0,,
127,131,"무한리필 초등학생(주말,공휴일)",10500.0,,
128,131,미취학(24개월~),5900.0,,
129,132,이이요특선초밥,23000.0,,
130,132,이이요초밥,16000.0,,
131,132,광어초밥,18000.0,,
132,132,묵은지광어초밥,18000.0,,
133,132,연어초밥,17000.0,,
134,132,광어+연어덮밥,17000.0,,
135,132,소고기초밥,14000.0,,
136,132,삶은새우초밥,12000.0,,
137,132,연어마끼,19500.0,,
138,132,회덮밥,15000.0,,
139,132,낫또회덮밥,16500.0,,
140,132,새우장밥,13500.0,,
141,132,연어덮밥,16000.0,,
142,132,간장새우연어밥,17000.0,,
143,132,홍새우연어덮밥,17000.0,,
144,132,광어지느러미연어밥,18000.0,,
145,132,도미연어덮밥,18000.0,,
146,132,이이요마끼,12000.0,,
147,133,A호야 12pcs,17000.0,"참치2,선어2,연어2,찐쭈꾸미2,찐새우2,랜덤2 [[일시적구성 변경됩니다]]",https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC0C0AE121F94400B8BE5772949C399CA
148,133,（BEST）B특호야12pcs,21000.0,"참치2,선어3,연어3,새우2,랜덤2 [[일시적구성 변경됩니다]]",https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F4B400953C1A3496CBAA935AB51EDFA44
149,133,로얄스시12pcs,36000.0,"참다랑어 2, 메까도로2, 참돔2 or 장어2, 두꺼운연어뱃살2,가리비관자1,우니1,소고기1,아마애비1 (참돔,장어 선택아닙니다. 참돔 or 장어 랜덤제공입니다)",https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC2003E3FD6EE4D89B386F8506139D3D2
150,133,참다랑어,54000.0,"턱살（가마도로）＋중뱃살（쥬도로）＋등살（새도로）＋속살（가마뼈속）여서 즉시 드셔야 하며, 시간이 지나면 갈변 될수 있습니다.",https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F5808A227E3CC46488819654CAF093973
151,133,대뱃살,55000.0,"오도로 한마리에7%로나오는 기름진특수부위 귀한 부위여서 즉시 드셔야 하며, 시간이 지나면 갈변 될수 있습니다.",https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FE2A69DD3A75D404D8593DF8AB42B4D32
152,133,C연어（양파소스）12pcs,26000.0,신선한 사과와 양파의 비율을 최적화하여 직접 만든 저희 가게만의 비법소스,https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F875A3D0E129C4CFC8A0F3B713728B825
153,133,모둠회（7종）,49000.0,"（아마애비,우니,전복,참다랑어,선어,연어 ＋ 랜덤제공） 상황에 따라 그날그날 들어오는 횟감으로 변경 또는 추가 써비스제공",https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB8C5A5CBEB88436895EAC2A6501E030A
154,133,수제계란초밥（다테마끼）,1600.0,계란.산마.날치알 저희가 직접 만든（계란.산마.날치알）쿄쿠 참고~기성제품이 아님을 저희가 보여드리기 위해 모양을 동그랗게하여（손이많이가는작업）제공합니다!!,https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FBCD6B6D800AE439CB0222394D5C9016C
155,133,호야 지라시,12000.0,"아마애비,연어,참치,찐쭈꾸미,찐새우,알계란,날치알 아마애비＋연어＋참치＋찐쭈꾸미＋찐새우＋알계란＋날치알이 뜸뿍 들어가 간장으로 비벼서 드시는 돈부리",https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FD845251E6E3B41138B2724D042BD8675
156,133,회덮밥,11000.0,,https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F985731BE309346DFB827A13A735B23FD
157,133,장어덮밥,20000.0,,https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F4F6BB89BF2D042099EAAA49ED1511DB9
158,133,알탕,13000.0,공기밥 포함,https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FA61B3A1284DC4046A3960D3E7A5D414A
159,133,호야 연어 모듬 12pcs,31000.0,연어2 연어뱃살2 연어배꼽2 연어군함2 연어양파2 연어카니미소2 연어아부리2,https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F9BE623B97AE94F14A1C7306427314BAC
